99999 99977
1 624371833 212297989
1 93347849 234235833
1 116387220 555382701
1 134255185 569064945
1 683498501 669278504
1 145872638 402585639
1 364574347 423183716
1 266313898 581763338
1 510336448 967973996
1 888933778 266274667
1 579985623 183070606
1 568597864 915049676
1 906583654 554997313
1 98994591 88221668
1 468552995 147653416
1 615815643 82795586
1 152747286 773656215
1 960956230 714332170
1 684646063 421978793
1 467527042 84330521
1 440880179 54586303
1 509034444 560029238
1 562689733 755844790
1 145985177 585018474
1 199394734 152805018
1 489761448 115837585
1 534905372 581019440
1 319861960 768393279
1 738164927 324899370
1 71397162 321721639
1 700493967 489729093
1 773274314 643342332
1 794883599 112880406
1 997036508 170670993
1 134398226 825671385
1 845055440 182917400
1 448606750 66046280
1 873930141 148712885
1 64352504 826733796
1 952156306 635876076
1 224486320 605791039
1 745199500 443367196
1 637969424 113743344
1 369581428 32353272
1 107197873 521828834
1 625330960 945454880
1 512607299 479461107
1 106928952 504062303
1 908322167 856897893
1 402147430 553797479
1 310153570 601218299
1 826401140 547214831
1 400251167 895559943
1 418772793 10420732
1 389293592 622211982
1 24957646 703845157
1 315808048 353770999
1 848606577 884818490
1 485207825 892507116
1 20086967 32678946
1 206934030 957196295
1 302019118 176953296
1 344634589 510141364
1 419267334 525215309
1 403632085 91095369
1 362960708 72556807
1 948864176 139621988
1 333239327 908996091
1 517380914 459734895
1 473586238 989506284
1 42522567 150686274
1 705794857 741979218
1 702404111 588286018
1 295514355 373067552
1 327285888 781278227
1 101277017 355776295
1 131505150 446383287
1 506926773 850646162
1 378584580 669968577
1 597737625 40741287
1 978373981 42192166
1 721072490 815119409
1 284380253 427797596
1 490289365 191582594
1 727986620 849763959
1 618787018 483087683
1 646450672 776674131
1 643720560 136321981
1 305731273 644621687
1 86463410 491586498
1 655991766 865546042
1 934350341 18732901
1 394527329 184295145
1 586612680 894867961
1 580089345 133347682
1 924772573 313481072
1 101946010 300596920
1 263312706 680336922
1 118489684 738778219
1 837403487 425562149
1 711356660 522900349
1 9136780 883501101
1 698140653 592286341
1 520870264 123181876
1 399154351 641242607
1 403592945 433269389
1 520479866 4213631
1 814532886 438943955
1 60539543 166807679
1 610146324 494853043
1 572248229 137192115
1 383227254 389979203
1 992051064 132175918
1 91651930 648212611
1 209265048 686931597
1 39082256 872964257
1 367922968 868882041
1 90846186 576932241
1 70408196 87060675
1 339495179 824401952
1 659253225 200817702
1 39896910 325447084
1 568026997 57906242
1 598493813 72112543
1 866722179 618084852
1 680486590 587697855
1 185434087 591928412
1 115055350 999985150
1 733045752 979249603
1 758131225 683999502
1 561807855 612001704
1 39400846 578034024
1 282652041 299025923
1 92830251 917879413
1 957074932 698844672
1 189024638 601755531
1 489973006 169504175
1 559488587 641275143
1 95732413 509413688
1 652215909 829226853
1 549121659 350491654
1 156693651 735241135
1 395372791 509073097
1 699516514 448567120
1 22320722 920693585
1 564446606 11816821
1 682674131 491972374
1 940256947 359328534
1 243578806 518139838
1 821508530 921497147
1 66479291 418925975
1 623598327 96884529
1 703209413 31073428
1 591585390 73847767
1 465626827 359671721
1 370064495 354304331
1 370334607 806130843
1 90636711 765296054
1 467835996 981953105
1 56592612 609752841
1 41128029 896532716
1 296632738 989861457
1 643078615 730065532
1 598812833 138914389
1 317450348 831598266
1 452769786 960210559
1 484771824 7089250
1 568211162 65221525
1 295975260 884068368
1 490479773 96802556
1 220857926 107420266
1 718455270 924659456
1 655859335 787261872
1 713669933 954395436
1 428877156 976220138
1 796375987 218620336
1 946086419 905521745
1 972466936 901239682
1 74379104 47096952
1 80597449 686627733
1 901390710 324017032
1 832146631 120412884
1 913324048 24165980
1 197247887 223464419
1 867492626 682085699
1 366243583 767767179
1 147998359 415335065
1 519364 724973316
1 272648106 459593422
1 375871484 522625761
1 657310361 552335737
1 645473090 526322633
1 295651976 893085121
1 252150966 709028609
1 217437220 597672993
1 450179220 370240737
1 650646068 214712930
1 88271726 819182452
1 72196503 664322522
1 645825937 14171221
1 448382196 439450849
1 449758777 746306177
1 718335512 704865328
1 394981050 574554473
1 172918049 481253730
1 693668937 952588243
1 371321221 1261743
1 57104522 977994692
1 599023546 178379064
1 444772311 690634348
1 184590094 84818521
1 387091249 907633758
1 246007267 738115994
1 523673691 995739231
1 28169127 992115149
1 607282197 749594435
1 273788361 651011453
1 560479879 915029189
1 612033220 788637988
1 260995700 38617657
1 397394986 343387532
1 934629376 620528274
1 686682738 292637166
1 475945783 637168384
1 945868423 182125198
1 524834087 964140558
1 291935454 352020561
1 93488454 888373930
1 709938143 304205247
1 20251872 863775056
1 993524288 477352991
1 595217391 632841389
1 498246293 779685376
1 39635205 14917021
1 503279213 823131005
1 917547752 937977335
1 92339854 911206553
1 123517879 141284282
1 48002231 905602301
1 311901768 918411027
1 210182238 69758398
1 425205775 400861787
1 746112579 550078998
1 812681088 528029674
1 149082805 314266164
1 216461064 223804630
1 13743268 202355047
1 955958122 462993247
1 672393438 650540530
1 195824820 75781114
1 869553954 967087043
1 241535677 539009087
1 507265066 93885672
1 359818417 947163145
1 223392090 749441674
1 301231526 179301503
1 555192230 299363395
1 780970449 143264457
1 11071174 828101285
1 831964648 563813319
1 947590299 204407719
1 815648862 222304833
1 364046139 342547870
1 328463747 457223039
1 818884646 919035346
1 678034546 971362218
1 685186907 922009313
1 766491046 453590347
1 77628713 621679171
1 189015538 655833253
1 53034812 943350357
1 867253200 953020211
1 311411549 269234882
1 26698815 50385129
1 525358893 47136765
1 735863030 84600715
1 149457622 525869611
1 343924228 101500850
1 652086191 3561496
1 965265931 133032879
1 711853085 276380736
1 808152458 577272909
1 298865294 857724503
1 63337846 953245966
1 984351879 580992443
1 890031687 184456985
1 749033504 249941592
1 686825264 747609423
1 925023144 22839153
1 50880908 42886406
1 586225021 28955511
1 871521518 469175417
1 295636321 275466467
1 668149180 184256675
1 338484634 20041313
1 272024171 65041181
1 801638066 966057631
1 308664935 558555040
2 419452306 339072419
1 33528439 871758759
1 47177945 84213028
1 551108135 170434012
1 227659241 600488180
1 314567095 971910398
1 363849498 332569877
1 358181155 554009544
1 60052526 132974039
1 551593222 87861702
1 493720428 82421388
1 157216643 935233091
1 404664335 112768296
1 490729780 358207980
1 133007589 721050374
1 721045089 354590802
1 698641115 413616587
1 133107293 42270433
1 867240108 732982967
1 484891957 26164581
1 856341740 100221986
1 776863748 48438876
1 308206450 88227164
1 321844718 880352280
1 806376507 793635510
1 239685817 513183125
1 375590594 96674825
1 702511965 46483127
1 835506098 748399931
1 224577282 134589373
1 542597769 18116999
1 563895789 551191512
1 712465224 34204096
1 286209147 101247996
1 576469093 62809365
1 33187697 25832415
1 878323613 975352791
1 690937003 927108670
1 68711513 74154061
1 663442886 749489778
1 361574853 402811939
1 60255634 44621479
1 13629329 873339430
1 976573078 839186503
1 953952055 106763530
1 883104912 877750145
1 629531405 675373644
1 648433071 882599419
1 148624270 197603007
1 319381393 74416876
1 193779195 54700091
1 574886524 588881015
1 413611153 158083132
1 129628333 907953251
1 110470849 50666713
1 389072076 839654795
1 155568857 951159778
1 99578795 524025130
1 449124952 831027637
1 551521174 876950966
1 811003604 458864919
1 77506659 72306309
1 517519505 641550185
1 682339541 517990607
1 554168457 65658338
1 496458182 791674857
1 635316684 271793682
1 942900049 832270908
1 111088378 692058381
1 816442317 318496067
1 398310287 694465910
1 593929267 458177791
1 746525752 258848090
1 787803239 372354118
1 495823407 67451089
1 425360876 67182069
1 630244121 916573221
1 654475135 352354011
1 537542790 17968601
1 67789799 176818883
1 964800523 546350142
1 494747575 165811841
1 746089675 165131470
1 987404078 694198577
1 60598622 366769854
1 64976345 928716317
1 630960467 278319983
1 61291449 919189939
1 986794294 35493477
1 983741522 267162001
1 476271243 812207310
1 460156763 766102894
1 358283046 119007934
1 880141686 673956066
1 488144004 848743688
1 901929363 787223415
1 990236477 699183267
1 961842543 578209232
1 297950071 507957071
1 269208476 631790481
1 946282435 52479010
1 398735287 394989969
1 8942216 115452669
1 3903226 177009972
1 728705692 257326603
1 405905863 651776569
1 843892389 317377135
1 48576137 168327277
1 812279278 217259945
1 633316345 11834461
1 236521804 229729231
1 970467641 304321900
1 616393901 64159557
1 771358175 5553933
1 748715501 554737534
1 784949774 658808097
1 911665280 855518193
1 768363467 858599036
1 516386082 919462647
1 861097049 358783988
1 742751332 99196913
1 130972463 876426044
1 641722435 766089811
1 553956866 11437117
1 464030086 440533145
1 374859784 344347968
1 133817842 661092085
1 331126435 904842246
1 719062709 41963425
1 230664753 574520836
1 20621764 845120381
1 356028414 673092134
1 430417180 89599742
1 359082542 671235324
1 809301253 557717651
1 474470037 811130548
1 384988706 136953331
1 512344333 709263908
1 742177021 977148749
1 587311370 107353978
1 56551398 710047721
1 495584947 116094
1 606267716 524576375
1 171068823 820588475
1 258643168 508823048
1 623165626 266929763
1 319842537 234929496
1 894631086 531649755
1 110380455 324393333
1 405261374 202763112
1 578757771 228419934
1 62994839 44821102
1 329763202 467821685
1 482427402 52072920
1 543946348 61364135
1 572784585 414309172
1 198226964 853447451
1 2068569 406700831
1 601437950 955077799
1 397506764 74556731
1 45663550 608601449
1 299984029 332950825
1 173822520 857333720
1 492530973 566087673
1 169730501 595225669
1 192119549 285338602
1 550718286 60692810
1 272214348 966378726
1 271980734 334995522
1 311195352 137600619
1 458609688 534217133
1 135299337 938258433
1 271998948 641118220
1 589674960 823000393
1 721933660 256418070
1 648708175 856799984
1 667435638 76658163
